,Type,Date,Amount,Description,Labels
1454,expense,2025-09-30,-1.71,To Instant Access Savings,['Investimenti&Risparmi']
1455,income,2025-09-30,51.14,Transfer from SIMONE SPOZIO,['Ricevuti']
1456,expense,2025-09-30,-1.32,To Instant Access Savings,['Investimenti&Risparmi']
1457,expense,2025-09-30,-146.12,Cash withdrawal at Zanzibar_nungwi,['Giroconto']
1458,expense,2025-01-10,-0.03,To Instant Access Savings,['Investimenti&Risparmi']
1459,expense,2025-09-30,-3.43,Sagioma Front Of305770,['Generic']
1460,expense,2025-01-10,-6.99,Amazon,['AcquistiOnline']
1461,expense,2025-01-10,-2.94,To Instant Access Savings,['Investimenti&Risparmi']
1462,expense,2025-01-10,-0.78,To Instant Access Savings,['Investimenti&Risparmi']
1463,expense,2025-01-10,-0.78,To Instant Access Savings,['Investimenti&Risparmi']
1464,expense,2025-01-10,-109.02,Kaanankira Saulo Mbis,['Generic']
1465,expense,2025-09-30,-20.56,Baraka Restaurant,['Generic']
1466,expense,2025-02-10,-2.4,To Instant Access Savings,['Investimenti&Risparmi']
1467,expense,2025-02-10,-10.0,Transfer to Revolut user,['Mandati']
1468,income,2025-03-10,13.0,Transfer from LUCA CAPUA,['Ricevuti']
1469,income,2025-03-10,30.0,Transfer from SIMONE SPOZIO,['Ricevuti']
1470,expense,2025-02-10,-8.2,Coccobello,['Generic']
1471,expense,2025-01-10,-3.74,Coccobello,['Generic']
1472,expense,2025-01-10,-3.74,Coccobello,['Generic']
1473,expense,2025-03-10,-20.0,To Instant Access Savings,['Investimenti&Risparmi']
1474,expense,2025-04-10,-20.0,To Robo portfolio,['Investimenti&Risparmi']
1475,expense,2025-04-10,-0.9,To Instant Access Savings,['Investimenti&Risparmi']
1476,expense,2025-04-10,-1.5,To Instant Access Savings,['Investimenti&Risparmi']
1477,expense,2025-05-10,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1478,expense,2025-05-10,-0.72,To Instant Access Savings,['Investimenti&Risparmi']
1479,expense,2025-05-10,-1.65,To Instant Access Savings,['Investimenti&Risparmi']
1480,expense,2025-04-10,-7.5,Maglione Srl Ads Rio.,['Generic']
1481,expense,2025-05-10,-0.72,To Instant Access Savings,['Investimenti&Risparmi']
1482,expense,2025-05-10,-41.76,Amazon,['AcquistiOnline']
1483,expense,2025-05-10,-30.76,Pam Panorama,['SpesaCasa']
1484,expense,2025-05-10,-30.01,Distributore Termoceva,['Generic']
1485,income,2025-06-10,110.0,Payment from CIRIO ELEONORA,['Ricevuti']
1486,expense,2025-07-10,-2.01,To Instant Access Savings,['Investimenti&Risparmi']
1487,income,2025-06-10,22.99,Amazon,['AcquistiOnline']
1488,expense,2025-04-10,-12.7,Taxi,['Movimento']
1489,expense,2025-07-10,-1.5,To Instant Access Savings,['Investimenti&Risparmi']
1490,expense,2025-07-10,-0.03,To Instant Access Savings,['Investimenti&Risparmi']
1491,expense,2025-07-10,-6.99,Amazon,['AcquistiOnline']
1492,expense,2025-07-10,-1.33,Pam Panorama,['SpesaCasa']
1493,expense,2025-07-10,-68.5,Arteria,['Generic']
1494,expense,2025-05-10,-23.45,Amazon,['AcquistiOnline']
1495,expense,2025-10-10,-20.0,To Instant Access Savings,['Investimenti&Risparmi']
1496,expense,2025-11-10,-20.0,To Robo portfolio,['Investimenti&Risparmi']
1497,expense,2025-11-10,-0.12,To Instant Access Savings,['Investimenti&Risparmi']
1498,expense,2025-11-10,-3.0,To Instant Access Savings,['Investimenti&Risparmi']
1499,expense,2025-11-10,-1.5,To Instant Access Savings,['Investimenti&Risparmi']
1500,expense,2025-12-10,-0.06,To Instant Access Savings,['Investimenti&Risparmi']
1501,expense,2025-12-10,-0.03,To Instant Access Savings,['Investimenti&Risparmi']
1502,expense,2025-12-10,-2.99,Bird,['Movimento']
1503,expense,2025-11-10,-5.0,Biraghi,['Generic']
1504,expense,2025-11-10,-36.96,Decathlon,['Shopping']
1505,expense,2025-12-10,-25.98,Decathlon,['Shopping']
1506,expense,2025-11-10,-39.5,Miss Delicious Pizza,['Ristoranti&Delivery']
1507,expense,2025-10-13,-1.53,To Instant Access Savings,['Investimenti&Risparmi']
1508,expense,2025-10-13,-3.49,Amazon,['AcquistiOnline']
1509,expense,2025-10-14,-0.3,To Instant Access Savings,['Investimenti&Risparmi']
